"District","facility","cluster","Month","Year","Incidence"
"Lilongwe","DHO","Area 25 Urban Health Centre","February","2019",3325
"Lilongwe","DHO","Area 25 Urban Health Centre","March","2019",2025
"Lilongwe","DHO","Area 25 Urban Health Centre","April","2019",5892
"Lilongwe","DHO","Area 25 Urban Health Centre","May","2019",2226
"Lilongwe","DHO","Area 25 Urban Health Centre","June","2019",1470
"Lilongwe","DHO","Area 25 Urban Health Centre","July","2019",569
"Lilongwe","DHO","Area 25 Urban Health Centre","August","2019",394
"Lilongwe","DHO","Area 25 Urban Health Centre","September","2019",480
"Lilongwe","DHO","Area 25 Urban Health Centre","October","2019",405
"Lilongwe","DHO","Area 25 Urban Health Centre","November","2019",508
"Lilongwe","DHO","Area 25 Urban Health Centre","December","2019",1204
"Lilongwe","DHO","Area 25 Urban Health Centre","February","2018",1070
"Lilongwe","DHO","Area 25 Urban Health Centre","March","2018",936
"Lilongwe","DHO","Area 25 Urban Health Centre","April","2018",803
"Lilongwe","DHO","Area 25 Urban Health Centre","May","2018",669
"Lilongwe","DHO","Area 25 Urban Health Centre","July","2018",535
"Lilongwe","DHO","Area 25 Urban Health Centre","August","2018",401
"Lilongwe","DHO","Area 25 Urban Health Centre","September","2018",268
"Lilongwe","DHO","Area 25 Urban Health Centre","November","2018",134
"Lilongwe","DHO","Area 30 Police Clinic","January","2019",0
"Lilongwe","DHO","Area 30 Police Clinic","February","2019",110
"Lilongwe","DHO","Area 30 Police Clinic","March","2019",572
"Lilongwe","DHO","Area 30 Police Clinic","April","2019",587
"Lilongwe","DHO","Area 30 Police Clinic","May","2019",646
"Lilongwe","DHO","Area 30 Police Clinic","June","2019",399
"Lilongwe","DHO","Area 30 Police Clinic","July","2019",316
"Lilongwe","DHO","Area 30 Police Clinic","August","2019",153
"Lilongwe","DHO","Area 30 Police Clinic","September","2019",128
"Lilongwe","DHO","Area 30 Police Clinic","October","2019",152
"Lilongwe","DHO","Area 30 Police Clinic","November","2019",218
"Lilongwe","DHO","Area 30 Police Clinic","December","2019",374
"Lilongwe","DHO","Area 30 Police Clinic","March","2018",187
"Lilongwe","DHO","Area 30 Police Clinic","July","2018",0
"Lilongwe","DHO","Area 30 Police Clinic","August","2018",0
"Lilongwe","DHO","Area 30 Police Clinic","September","2018",0
"Lilongwe","DHO","Area 30 Police Clinic","October","2018",0
"Lilongwe","DHO","Area 30 Police Clinic","November","2018",0
"Lilongwe","DHO","Area 30 Police Clinic","December","2018",0
"Karonga","DHO","Atupele Community Hospital","January","2019",215
"Karonga","DHO","Atupele Community Hospital","February","2019",218
"Karonga","DHO","Atupele Community Hospital","March","2019",134
"Karonga","DHO","Atupele Community Hospital","April","2019",112
"Karonga","DHO","Atupele Community Hospital","May","2019",55
"Karonga","DHO","Atupele Community Hospital","June","2019",32
"Karonga","DHO","Atupele Community Hospital","July","2019",24
"Karonga","DHO","Atupele Community Hospital","August","2019",25
"Karonga","DHO","Atupele Community Hospital","September","2019",37
"Karonga","DHO","Atupele Community Hospital","October","2019",62
"Karonga","DHO","Atupele Community Hospital","November","2019",38
"Karonga","DHO","Atupele Community Hospital","December","2019",89
"Karonga","DHO","Atupele Community Hospital","January","2018",92
"Karonga","DHO","Atupele Community Hospital","February","2018",102
"Karonga","DHO","Atupele Community Hospital","March","2018",112
"Karonga","DHO","Atupele Community Hospital","April","2018",122
"Karonga","DHO","Atupele Community Hospital","May","2018",131
"Karonga","DHO","Atupele Community Hospital","June","2018",141
"Karonga","DHO","Atupele Community Hospital","July","2018",151
"Karonga","DHO","Atupele Community Hospital","August","2018",161
"Karonga","DHO","Atupele Community Hospital","September","2018",171
"Karonga","DHO","Atupele Community Hospital","October","2018",180
"Karonga","DHO","Atupele Community Hospital","November","2018",190
"Karonga","DHO","Atupele Community Hospital","December","2018",200
"Balaka","DHO","Balaka District Hospital","January","2019",10389
"Balaka","DHO","Balaka District Hospital","February","2019",4846
"Balaka","DHO","Balaka District Hospital","March","2019",5445
"Balaka","DHO","Balaka District Hospital","April","2019",5276
"Balaka","DHO","Balaka District Hospital","May","2019",5687
"Balaka","DHO","Balaka District Hospital","June","2019",2799
"Balaka","DHO","Balaka District Hospital","July","2019",3034
"Balaka","DHO","Balaka District Hospital","August","2019",1965
"Balaka","DHO","Balaka District Hospital","September","2019",2409
"Balaka","DHO","Balaka District Hospital","October","2019",2264
"Balaka","DHO","Balaka District Hospital","November","2019",2752
"Balaka","DHO","Balaka District Hospital","December","2019",3779
"Balaka","DHO","Balaka District Hospital","January","2018",3589
"Balaka","DHO","Balaka District Hospital","February","2018",3618
"Balaka","DHO","Balaka District Hospital","March","2018",3648
"Balaka","DHO","Balaka District Hospital","April","2018",3677
"Balaka","DHO","Balaka District Hospital","May","2018",3707
"Balaka","DHO","Balaka District Hospital","June","2018",4021
"Balaka","DHO","Balaka District Hospital","July","2018",2805
"Balaka","DHO","Balaka District Hospital","August","2018",1967
"Balaka","DHO","Balaka District Hospital","September","2018",2376
"Balaka","DHO","Balaka District Hospital","October","2018",2051
"Balaka","DHO","Balaka District Hospital","November","2018",1778
"Balaka","DHO","Balaka District Hospital","December","2018",2556
"Balaka","DHO","Balaka-DHO","January","2019",41014
"Balaka","DHO","Balaka-DHO","February","2019",23165
"Balaka","DHO","Balaka-DHO","March","2019",26165
"Balaka","DHO","Balaka-DHO","April","2019",25859
"Balaka","DHO","Balaka-DHO","May","2019",27301
"Balaka","DHO","Balaka-DHO","June","2019",13802
"Balaka","DHO","Balaka-DHO","July","2019",11137
"Balaka","DHO","Balaka-DHO","August","2019",8953
"Balaka","DHO","Balaka-DHO","September","2019",8524
"Balaka","DHO","Balaka-DHO","October","2019",8447
"Balaka","DHO","Balaka-DHO","November","2019",6565
"Balaka","DHO","Balaka-DHO","December","2019",10196
"Balaka","DHO","Balaka-DHO","January","2018",4773
"Balaka","DHO","Balaka-DHO","February","2018",3508
"Balaka","DHO","Balaka-DHO","March","2018",1174
"Balaka","DHO","Balaka-DHO","April","2018",1205
"Balaka","DHO","Balaka-DHO","May","2018",3253
"Balaka","DHO","Balaka-DHO","June","2018",4021
"Balaka","DHO","Balaka-DHO","July","2018",8401
"Balaka","DHO","Balaka-DHO","August","2018",6606
"Balaka","DHO","Balaka-DHO","September","2018",8052
"Balaka","DHO","Balaka-DHO","October","2018",6637
"Balaka","DHO","Balaka-DHO","November","2018",5135
"Balaka","DHO","Balaka-DHO","December","2018",7462
"Blantyre","DHO","Bangwe Health Centre","January","2019",345
"Blantyre","DHO","Bangwe Health Centre","February","2019",203
"Blantyre","DHO","Bangwe Health Centre","March","2019",207
"Blantyre","DHO","Bangwe Health Centre","April","2019",236
"Blantyre","DHO","Bangwe Health Centre","May","2019",262
"Blantyre","DHO","Bangwe Health Centre","June","2019",307
"Blantyre","DHO","Bangwe Health Centre","July","2019",90
"Blantyre","DHO","Bangwe Health Centre","August","2019",135
"Blantyre","DHO","Bangwe Health Centre","September","2019",114
"Blantyre","DHO","Bangwe Health Centre","October","2019",97
"Blantyre","DHO","Bangwe Health Centre","November","2019",59
"Blantyre","DHO","Bangwe Health Centre","December","2019",128
"Blantyre","DHO","Bangwe Health Centre","January","2018",118
"Blantyre","DHO","Bangwe Health Centre","February","2018",113
"Blantyre","DHO","Bangwe Health Centre","March","2018",108
"Blantyre","DHO","Bangwe Health Centre","April","2018",104
"Blantyre","DHO","Bangwe Health Centre","May","2018",99
"Blantyre","DHO","Bangwe Health Centre","June","2018",94
"Blantyre","DHO","Bangwe Health Centre","July","2018",90
"Blantyre","DHO","Bangwe Health Centre","August","2018",85
"Dedza","DHO","Bembeke Health Centre","January","2019",258
"Dedza","DHO","Bembeke Health Centre","February","2019",94
"Dedza","DHO","Bembeke Health Centre","March","2019",257
"Dedza","DHO","Bembeke Health Centre","April","2019",212
"Dedza","DHO","Bembeke Health Centre","May","2019",276
"Dedza","DHO","Bembeke Health Centre","June","2019",84
"Dedza","DHO","Bembeke Health Centre","July","2019",11
"Dedza","DHO","Bembeke Health Centre","August","2019",16
"Dedza","DHO","Bembeke Health Centre","September","2019",69
"Dedza","DHO","Bembeke Health Centre","October","2019",84
"Dedza","DHO","Bembeke Health Centre","November","2019",96
"Dedza","DHO","Bembeke Health Centre","December","2019",199
"Dedza","DHO","Bembeke Health Centre","January","2018",242
"Dedza","DHO","Bembeke Health Centre","February","2018",285
"Dedza","DHO","Bembeke Health Centre","March","2018",328
"Dedza","DHO","Bembeke Health Centre","April","2018",372
"Dedza","DHO","Bembeke Health Centre","May","2018",415
"Dedza","DHO","Bembeke Health Centre","June","2018",458
"Dedza","DHO","Bembeke Health Centre","July","2018",501
"Dedza","DHO","Bembeke Health Centre","August","2018",544
"Dedza","DHO","Bembeke Health Centre","September","2018",587
"Dedza","DHO","Bembeke Health Centre","October","2018",631
"Dedza","DHO","Bembeke Health Centre","November","2018",674
"Dedza","DHO","Bembeke Health Centre","December","2018",717
"Nkhotakota","DHO","Benga Health Centre","January","2019",423
"Nkhotakota","DHO","Benga Health Centre","February","2019",471
"Nkhotakota","DHO","Benga Health Centre","March","2019",690
"Nkhotakota","DHO","Benga Health Centre","April","2019",699
"Nkhotakota","DHO","Benga Health Centre","May","2019",543
"Nkhotakota","DHO","Benga Health Centre","June","2019",489
"Nkhotakota","DHO","Benga Health Centre","July","2019",403
"Nkhotakota","DHO","Benga Health Centre","August","2019",444
"Nkhotakota","DHO","Benga Health Centre","September","2019",685
"Nkhotakota","DHO","Benga Health Centre","October","2019",899
"Nkhotakota","DHO","Benga Health Centre","November","2019",645
"Nkhotakota","DHO","Benga Health Centre","December","2019",277
"Nkhotakota","DHO","Benga Health Centre","January","2018",310
"Nkhotakota","DHO","Benga Health Centre","February","2018",344
"Nkhotakota","DHO","Benga Health Centre","March","2018",377
"Nkhotakota","DHO","Benga Health Centre","April","2018",411
"Nkhotakota","DHO","Benga Health Centre","May","2018",444
"Nkhotakota","DHO","Benga Health Centre","June","2018",478
"Nkhotakota","DHO","Benga Health Centre","July","2018",511
"Nkhotakota","DHO","Benga Health Centre","August","2018",545
"Nkhotakota","DHO","Benga Health Centre","September","2018",578
"Nkhotakota","DHO","Benga Health Centre","October","2018",612
"Nkhotakota","DHO","Benga Health Centre","November","2018",645
"Nkhotakota","DHO","Benga Health Centre","December","2018",564
"Chikwawa","DHO","Bereu Dispensary","January","2019",468
"Chikwawa","DHO","Bereu Dispensary","February","2019",1258
"Chikwawa","DHO","Bereu Dispensary","March","2019",1177
"Chikwawa","DHO","Bereu Dispensary","April","2019",1322
"Chikwawa","DHO","Bereu Dispensary","May","2019",1457
"Chikwawa","DHO","Bereu Dispensary","June","2019",464
"Chikwawa","DHO","Bereu Dispensary","July","2019",222
"Chikwawa","DHO","Bereu Dispensary","August","2019",185
"Chikwawa","DHO","Bereu Dispensary","September","2019",275
"Chikwawa","DHO","Bereu Dispensary","October","2019",100
"Chikwawa","DHO","Bereu Dispensary","November","2019",19
"Chikwawa","DHO","Bereu Dispensary","December","2019",28
"Chikwawa","DHO","Bereu Dispensary","January","2018",85
"Chikwawa","DHO","Bereu Dispensary","February","2018",142
"Chikwawa","DHO","Bereu Dispensary","March","2018",199
"Chikwawa","DHO","Bereu Dispensary","April","2018",255
"Chikwawa","DHO","Bereu Dispensary","May","2018",312
"Chikwawa","DHO","Bereu Dispensary","June","2018",369
"Chikwawa","DHO","Bereu Dispensary","July","2018",426
"Chikwawa","DHO","Bereu Dispensary","August","2018",483
"Chikwawa","DHO","Bereu Dispensary","September","2018",540
"Chikwawa","DHO","Bereu Dispensary","October","2018",596
"Chikwawa","DHO","Bereu Dispensary","November","2018",653
"Chikwawa","DHO","Bereu Dispensary","December","2018",710
"Chiradzulu","DHO","Bilal Dispensary","January","2019",52
"Chiradzulu","DHO","Bilal Dispensary","February","2019",93
"Chiradzulu","DHO","Bilal Dispensary","March","2019",91
"Chiradzulu","DHO","Bilal Dispensary","April","2019",44
"Chiradzulu","DHO","Bilal Dispensary","May","2019",99
"Chiradzulu","DHO","Bilal Dispensary","June","2019",33
"Chiradzulu","DHO","Bilal Dispensary","July","2019",11
"Chiradzulu","DHO","Bilal Dispensary","August","2019",8
"Chiradzulu","DHO","Bilal Dispensary","September","2019",10
"Chiradzulu","DHO","Bilal Dispensary","October","2019",10
"Chiradzulu","DHO","Bilal Dispensary","November","2019",7
"Chiradzulu","DHO","Bilal Dispensary","December","2019",5
"Chiradzulu","DHO","Bilal Dispensary","January","2018",21
"Chiradzulu","DHO","Bilal Dispensary","February","2018",33
"Chiradzulu","DHO","Bilal Dispensary","March","2018",46
"Chiradzulu","DHO","Bilal Dispensary","April","2018",58
"Chiradzulu","DHO","Bilal Dispensary","May","2018",70
"Chiradzulu","DHO","Bilal Dispensary","June","2018",83
"Chiradzulu","DHO","Bilal Dispensary","July","2018",95
"Chiradzulu","DHO","Bilal Dispensary","August","2018",108
"Chiradzulu","DHO","Bilal Dispensary","September","2018",120
"Chiradzulu","DHO","Bilal Dispensary","October","2018",133
"Chiradzulu","DHO","Bilal Dispensary","November","2018",145
"Chiradzulu","DHO","Bilal Dispensary","December","2018",158
"Ntcheu","DHO","Bilira Health Centre","January","2019",2219
"Ntcheu","DHO","Bilira Health Centre","February","2019",2211
"Ntcheu","DHO","Bilira Health Centre","March","2019",3099
"Ntcheu","DHO","Bilira Health Centre","April","2019",1822
"Ntcheu","DHO","Bilira Health Centre","May","2019",2315
"Ntcheu","DHO","Bilira Health Centre","June","2019",1088
"Ntcheu","DHO","Bilira Health Centre","July","2019",366
"Ntcheu","DHO","Bilira Health Centre","August","2019",577
"Ntcheu","DHO","Bilira Health Centre","September","2019",621
"Ntcheu","DHO","Bilira Health Centre","October","2019",913
"Ntcheu","DHO","Bilira Health Centre","November","2019",1245
"Ntcheu","DHO","Bilira Health Centre","December","2019",1620
"Ntcheu","DHO","Bilira Health Centre","January","2018",1525
"Ntcheu","DHO","Bilira Health Centre","February","2018",1480
"Ntcheu","DHO","Bilira Health Centre","March","2018",1435
"Ntcheu","DHO","Bilira Health Centre","April","2018",1391
"Ntcheu","DHO","Bilira Health Centre","May","2018",1346
"Ntcheu","DHO","Bilira Health Centre","June","2018",1301
"Ntcheu","DHO","Bilira Health Centre","July","2018",1257
"Ntcheu","DHO","Bilira Health Centre","August","2018",1212
"Ntcheu","DHO","Bilira Health Centre","September","2018",1167
"Ntcheu","DHO","Bilira Health Centre","October","2018",1123
"Ntcheu","DHO","Bilira Health Centre","November","2018",1078
"Ntcheu","DHO","Bilira Health Centre","December","2018",1033
"Zomba","DHO","Bimbi Health Centre","January","2019",1898
"Zomba","DHO","Bimbi Health Centre","February","2019",1167
"Zomba","DHO","Bimbi Health Centre","March","2019",843
"Zomba","DHO","Bimbi Health Centre","April","2019",794
"Zomba","DHO","Bimbi Health Centre","May","2019",1729
"Zomba","DHO","Bimbi Health Centre","June","2019",1215
"Zomba","DHO","Bimbi Health Centre","July","2019",668
"Zomba","DHO","Bimbi Health Centre","August","2019",497
"Zomba","DHO","Bimbi Health Centre","September","2019",479
"Zomba","DHO","Bimbi Health Centre","October","2019",506
"Zomba","DHO","Bimbi Health Centre","November","2019",465
"Zomba","DHO","Bimbi Health Centre","December","2019",1110
"Zomba","DHO","Bimbi Health Centre","January","2018",919
"Zomba","DHO","Bimbi Health Centre","February","2018",881
"Zomba","DHO","Bimbi Health Centre","March","2018",843
"Zomba","DHO","Bimbi Health Centre","April","2018",805
"Zomba","DHO","Bimbi Health Centre","May","2018",767
"Zomba","DHO","Bimbi Health Centre","June","2018",729
"Zomba","DHO","Bimbi Health Centre","July","2018",691
"Zomba","DHO","Bimbi Health Centre","August","2018",653
"Zomba","DHO","Bimbi Health Centre","September","2018",615
"Zomba","DHO","Bimbi Health Centre","October","2018",577
"Zomba","DHO","Bimbi Health Centre","November","2018",539
"Zomba","DHO","Bimbi Health Centre","December","2018",501
"Ntcheu","DHO","Biriwiri Health Centre","January","2019",989
"Ntcheu","DHO","Biriwiri Health Centre","February","2019",944
"Ntcheu","DHO","Biriwiri Health Centre","March","2019",906
"Ntcheu","DHO","Biriwiri Health Centre","April","2019",766
"Ntcheu","DHO","Biriwiri Health Centre","May","2019",1132
"Ntcheu","DHO","Biriwiri Health Centre","June","2019",300
"Ntcheu","DHO","Biriwiri Health Centre","July","2019",68
"Ntcheu","DHO","Biriwiri Health Centre","August","2019",58
"Ntcheu","DHO","Biriwiri Health Centre","September","2019",27
"Ntcheu","DHO","Biriwiri Health Centre","October","2019",50
"Ntcheu","DHO","Biriwiri Health Centre","November","2019",87
"Ntcheu","DHO","Biriwiri Health Centre","December","2019",236
